plant,oc_ext_12m,lineas_12m,proveedores_12m,ult_oc_ext,oc_ext_24m,traslados_12m,ventana_desde,ventana_hasta,extraido
0001,0,0,0,,0,0,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
0003,0,0,0,,0,0,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
CDG1,111,671,15,2026-09-24,258,405,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
CDG2,0,0,0,,0,0,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
CGAM,168,502,19,2026-09-23,310,285,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
EC01,0,0,0,,0,0,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
EM01,0,0,0,,0,0,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
G001,497,4406,18,2026-09-23,1071,1900,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
G002,1,1,1,2026-09-04,15,995,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
G003,3,104,2,2026-06-01,16,1001,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
G004,5,112,4,2026-08-15,11,1071,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
G005,0,0,0,,0,0,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
G050,29,244,1,2026-09-21,29,9,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
G101,476,4297,17,2026-09-23,1014,2272,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
G102,79,518,5,2026-09-23,182,839,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
G103,86,537,3,2026-09-23,192,1399,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
G104,1,1,1,2026-09-04,1,6,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
G105,0,0,0,,0,0,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
G201,700,5887,22,2026-09-23,1430,4009,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
G202,2,101,1,2026-02-13,3,1589,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
G203,1,50,1,2025-10-20,2,1365,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
G204,23,341,5,2026-09-14,50,1646,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
G206,42,326,6,2026-09-23,46,1230,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
G207,440,4650,19,2026-09-23,917,2532,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
G250,42,332,1,2026-09-22,42,9,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
G301,198,1396,8,2026-09-15,434,1866,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
G302,13,133,3,2026-09-15,31,379,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
G304,0,0,0,,0,0,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
G305,399,3120,18,2026-09-23,812,1395,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
G306,189,1363,10,2026-09-23,369,1600,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
G350,48,269,1,2026-09-22,48,11,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
G401,2,100,1,2026-05-12,5,448,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
G402,2,36,2,2026-06-01,11,1193,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
G403,542,4321,19,2026-09-24,1145,2249,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
G501,218,1870,8,2026-09-23,469,1100,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
G502,165,1543,11,2026-09-23,318,3220,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
G503,485,3757,22,2026-09-24,1027,1533,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
G504,163,1697,19,2026-09-23,163,1060,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
G601,638,5618,20,2026-09-23,1358,3236,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
G602,120,939,9,2026-09-23,261,940,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
G603,6,111,4,2026-09-15,12,378,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
G604,76,388,6,2026-09-18,220,123,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
G605,0,0,0,,0,0,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
G606,80,461,6,2026-09-23,194,347,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
G607,8,205,3,2026-06-30,33,320,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
G701,384,1399,22,2026-09-23,763,1215,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
G702,0,0,0,,1,128,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
G703,0,0,0,,0,0,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
G704,3,79,3,2026-06-25,3,572,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
G801,0,0,0,,2,301,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
GAMC,0,0,0,,0,0,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
GM01,17,18,2,2026-08-25,24,2,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
IGAM,0,0,0,,8,0,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M000,0,0,0,,0,0,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M001,157,1053,4,2026-09-24,287,130,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M002,113,767,5,2026-09-15,202,78,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M003,0,0,0,,0,0,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M004,216,1974,13,2026-09-21,410,508,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M005,57,565,3,2026-09-15,98,17,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M101,315,2738,14,2026-09-24,700,859,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M102,0,0,0,,0,0,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M103,4,23,3,2026-04-21,7,319,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M104,3,17,3,2026-04-21,4,323,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M105,4,21,3,2026-04-21,5,236,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M106,0,0,0,,0,0,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M107,0,0,0,,0,0,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M108,156,1055,9,2026-09-21,351,1153,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M109,185,2201,12,2026-09-24,383,416,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
